,index,pe_ratio,pb_ratio,market_cap,return_on_asset_net_profit,du_return_on_equity,ev,earnings_per_share,revenue,total_expense,date,return
0,000001.XSHE,5.9572,1.1818,85252550922,0.8008,14.9403,1.21E+12,2.01,20701401000,10882540000,2012/1/31,0.027657228
1,000002.XSHE,7.0289,1.588,84113358168,1.6463,7.8656,3.00E+11,0.326,29308369223,23783476901,2012/1/31,0.082351824
2,000008.XSHE,-262.7461,7.0003,517045520,-0.5678,-0.5943,770517752.6,-0.006,11679829.03,12030080.04,2012/1/31,0.099789003
3,000060.XSHE,16.476,3.7146,19680455995,5.6036,14.617,28009159185,0.35,9189386878,7935542726,2012/1/31,0.121594828
4,000069.XSHE,12.5878,2.5616,41727214853,2.8729,10.9097,81247380359,0.271,8951453490,7091397989,2012/1/31,-0.002680815
5,000100.XSHE,10.796,1.522,17206724233,2.245,7.7394,66034033386,0.0974,43883757748,43092263405,2012/1/31,0.137955881
6,000402.XSHE,8.1032,1.0078,18253291248,3.2233,10.3965,56511787330,0.6,7303544153,5440677927,2012/1/31,0.08457869
7,000413.XSHE,192.5234,18.3692,4270450000,-0.6423,-1.0375,4363236329,-0.0059,62630800.67,64784767.7,2012/1/31,0.119268333
8,000415.XSHE,18.0444,1.2301,8699264600,1.8112,3.7845,21846364583,0.3197,1466188262,1036862317,2012/1/31,0.188558876
9,000423.XSHE,23.3689,7.7135,26409389664,16.1098,20.7633,27897612682,0.9372,1862915702,1157644109,2012/1/31,0.087668398
10,000425.XSHE,8.6344,2.1796,33004130464,9.9592,21.1151,53846101659,1.37,25233044685,21955101571,2012/1/31,0.002494309
11,000503.XSHE,226.9945,4.3887,5410909668,0.1796,0.3275,6249917784,0.0045,99694183.97,135382267.3,2012/1/31,0.167774086
12,000538.XSHE,22.6896,6.1087,33935745494,10.2038,17.8649,43071657563,1.24,7741652400,6769161249,2012/1/31,0.065467984
13,000540.XSHE,17.6816,4.0655,8759864200,2.3934,17.664,22467665936,0.2538,2004355082,1749636830,2012/1/31,0.1970435
14,000559.XSHE,18.3311,2.3941,9256861365,4.7469,9.2005,14628454817,0.217,6200943486,5822509580,2012/1/31,0.139423077
15,000568.XSHE,14.3531,7.2173,51740226954,24.1712,34.1465,56573570954,1.44,5628271589,2856713520,2012/1/31,0.096471345
16,000623.XSHE,5.6704,1.7148,15460024303,20.7774,23.1428,18804075329,2.7168,809481664.1,690911564.4,2012/1/31,0.112147169
17,000625.XSHE,-203.3888,1.3678,20159792217,2.7517,7.0257,37217163393,0.19,19606549989,20002232604,2012/1/31,0.136707483
18,000627.XSHE,-16.8256,2.8326,3898338814,-2.728,-3.1988,5262950196,-0.036,797135024.4,832484948.2,2012/1/31,0.15624782
19,000630.XSHE,14.5249,2.849,28446350207,3.2688,12.367,49261848234,0.74,52032837532,50898693657,2012/1/31,0.092445431
20,000651.XSHE,8.8321,3.1092,54743150990,4.9914,25.6552,1.25E+11,1.3388,64074612709,61158359768,2012/1/31,0.094499897
21,000671.XSHE,54.5916,1.7354,3484036043,0.8814,5.9695,11761758216,0.19,1828169582,1706703768,2012/1/31,0.173889862
22,000686.XSHE,-10.5648,2.865,8771366787,-0.1107,-0.5469,20765182199,-0.03,677592524.5,717833927.9,2012/1/31,0.121705326
23,000709.XSHE,30.7015,0.7431,31749624178,0.8678,2.8371,99804099746,0.15,1.08E+11,1.06E+11,2012/1/31,0.080236279
24,000723.XSHE,83.1601,5.1914,2447173888,3.7628,6.7973,2643902662,0.23,1211363702,1164178658,2012/1/31,0.042778609
25,000725.XSHE,7.8303,0.9565,24473991637,-3.8791,-8.9859,59972852072,-0.16,8514636554,10928202542,2012/1/31,0.077315828
26,000728.XSHE,89.0694,1.2107,17853669000,1.9189,3.093,27584467397,0.2311,1315052596,759062567.2,2012/1/31,0.077006009
27,000738.XSHE,48.6018,3.7755,9352957791,3.2868,5.6005,12090522079,0.1412,1350949552,1208450824,2012/1/31,0.154237512
28,000750.XSHE,-25.6794,3.0579,7848747888,1.0709,1.2462,20293252211,0.05,846043430.3,770218550.3,2012/1/31,0.198201425
29,000768.XSHE,-147.1629,2.0306,19102438172,0.1931,0.3771,32166350683,0.0142,5081888777,5059579936,2012/1/31,0.146559048
30,000776.XSHE,728.4289,2.348,73103249580,1.7866,6.13,1.36E+11,0.61,4325459006,2377388304,2012/1/31,0.074897059
31,000783.XSHE,-45.0677,1.6385,18614185636,1.0097,3.1584,38751827913,0.14,1337998541,967274968.4,2012/1/31,0.129926712
32,000792.XSHE,19.2172,3.7855,51771074558,10.514,19.4208,80915739549,1.8385,5539622881,2862752126,2012/1/31,0.151459993
33,000826.XSHE,23.0132,5.7688,9086509777,5.8911,13.971,12253603100,0.462,1024996030,798413138.5,2012/1/31,0.087711291
34,000839.XSHE,333.106,1.8536,10756003511,0.89,1.5777,18870505928,0.0583,1180163423,1267800327,2012/1/31,0.128297223
35,000858.XSHE,15.3332,5.2524,1.21E+11,16.1359,24.1627,1.47E+11,1.269,15648774490,9035308334,2012/1/31,0.101593357
36,000876.XSHE,7.676,3.0819,29540383370,7.4287,14.0505,20968360550,1.03,50764868718,49120061670,2012/1/31,0.06176845
37,000895.XSHE,-1338.4485,10.6955,39377548602,4.5209,7.8543,42437138787,0.4592,24239106613,23337169831,2012/1/31,0.062017806
38,000938.XSHE,42.6661,2.8149,2254515200,1.6298,4.2112,3529790114,0.162,3644404044,3629839989,2012/1/31,0.101464047
39,000959.XSHE,-26.1079,1.1222,8513929784,0.0867,2.0863,21615136272,0.0549,9502575535,9992265480,2012/1/31,0.087111297
40,000961.XSHE,8.7321,1.8054,9809849498,2.4954,13.1395,31471593063,0.55,7903065272,7025337345,2012/1/31,0.196426363
41,000963.XSHE,22.4888,6.5556,10022445192,7.7243,22.5682,14715366600,0.6757,8194944377,7738330113,2012/1/31,0.08012233
42,000983.XSHE,16.8509,3.6087,50324664000,8.237,18.4178,85342188908,0.7948,22884339586,19205385113,2012/1/31,0.077647014
43,002007.XSHE,103.2077,5.628,13321854976,11.9395,13.7822,12957134001,0.535,738447615.7,363505122.7,2012/1/31,0.06531211
44,002008.XSHE,9.4767,2.6381,7404771894,5.7164,11.6348,11923045459,0.2756,2673513831,2362243445,2012/1/31,0.16502264
45,002024.XSHE,10.8124,2.726,60867043234,7.0214,17.3106,1.06E+11,0.4892,67625499000,63105122000,2012/1/31,0.034480285
46,002027.XSHE,-10.2187,2.016,1218410517,0.1718,0.257,1805997931,0.0056,947381266.9,941843709.9,2012/1/31,0.091781514
47,002044.XSHE,20.4515,5.1103,1935277500,6.5053,9.2073,2585540322,0.139,579326555.6,536804411.9,2012/1/31,0.110099513
48,002065.XSHE,18.7782,4.3444,9850608640,9.893,14.5688,11373623439,0.5093,1606056451,1335501979,2012/1/31,0.110990907
49,002074.XSHE,34.6532,3.6556,1578482640,5.7557,10.5459,2441487011,0.18,493069178.8,440614415.3,2012/1/31,0.117177148
50,002081.XSHE,17.0643,5.9058,18377040393,9.7896,31.9623,21684655943,0.9086,6432177806,5839048120,2012/1/31,0.139324831
51,002142.XSHE,6.6771,1.4932,27944220926,1.0298,15.1654,2.41E+11,0.89,5706374000,2764872000,2012/1/31,0.034056197
52,002146.XSHE,7.3613,2.4509,15039897600,3.9236,18.5606,33968718458,0.51,6101082479,4839724494,2012/1/31,0.199507596
53,002153.XSHE,23.5333,6.7642,7397241600,15.0778,17.1945,8854453139,0.52,459764525.3,302985073.8,2012/1/31,0.11158221
54,002174.XSHE,-135.1836,3.952,902386340,0.1001,0.77,1344172473,0.021,226840813.3,228325157.3,2012/1/31,0.164526062
55,002230.XSHE,45.8019,6.3889,7516943625,6.4937,7.8906,7670455234,0.28,342597397,285178588.4,2012/1/31,0.316561268
56,002236.XSHE,23.7544,7.819,11774402076,11.0706,16.345,12402992370,0.73,1460699765,1234300794,2012/1/31,0.102406716
57,002241.XSHE,21.875,8.175,17053408060,8.8802,19.7717,20333004124,0.47,2753719951,2332580270,2012/1/31,0.14675613
58,002252.XSHE,29.9917,7.0569,6454560000,15.0026,16.5791,6584240682,0.51,381696427.9,218311705.2,2012/1/31,0.063629222
59,002292.XSHE,75.7295,7.325,10104832000,5.7157,6.7608,7207363453,0.22,727006274.2,623049692.8,2012/1/31,0.0936344
60,002294.XSHE,19.4133,4.1442,8836656000,12.5764,14.766,11936854986,0.79,1077149061,746256481.7,2012/1/31,0.132350039
61,002304.XSHE,19.6996,11.6265,1.15E+11,22.9515,37.134,1.27E+11,3.24,9697320356,5655841725,2012/1/31,0.168505019
62,002310.XSHE,17.5595,6.0159,11263785183,13.5919,22.8921,14699468220,2.29,1965187858,1566421577,2012/1/31,0.230632415
63,002352.XSHE,26.5542,2.1836,1569068525,3.2224,4.3585,2073680969,0.4,470163824.5,438363251.6,2012/1/31,0.089776451
64,002385.XSHE,16.6065,3.3233,11563080000,7.7024,9.8108,14559606885,0.78,5279408885,4905932348,2012/1/31,0.171575823
65,002411.XSHE,27.4205,3.0469,2356830000,5.2652,5.4527,3020826515,0.17,770044002.1,712509134.7,2012/1/31,0.214767531
66,002415.XSHE,19.359,5.4305,36980000000,12.7014,14.6805,40368127810,0.87,3453156822,2470651270,2012/1/31,0.113566249
67,002424.XSHE,25.5245,3.4475,6599712000,4.5786,6.8463,8407405958,0.27,701417429.7,554485320,2012/1/31,0.126882547
68,002426.XSHE,1512.7409,2.2273,2886956100,3.7132,5.2927,4088639982,0.1697,1115660255,1062257041,2012/1/31,0.141536684
69,002450.XSHE,35.4532,6.6061,6787200000,7.5141,11.0486,7508019924,0.3207,1098832203,969665965.3,2012/1/31,0.161932905
70,002456.XSHE,-263.2222,2.8871,2808960000,-1.4387,-2.6004,4688450853,-0.13,648674946.4,677435315.1,2012/1/31,0.52423549
71,002460.XSHE,49.731,4.5287,3279000000,5.1303,5.8898,4023862474,0.28,327739393.9,282919396.3,2012/1/31,0.08829619
72,002465.XSHE,31.4086,1.655,7075738533,2.5843,2.9048,8694467710,0.3679,658569640.3,549797985.7,2012/1/31,0.152254562
73,002466.XSHE,97.1092,4.1013,4036620000,2.9892,3.3418,5192804839,0.22,298312158.1,267370981.9,2012/1/31,0.126367786
74,002468.XSHE,-29.5372,2.2865,1735680000,3.0888,4.7192,2985511165,0.194,813493135.8,777625233.6,2012/1/31,0.19469358
75,002470.XSHE,17.198,3.1169,9618000000,8.6549,13.7957,13161820051,0.57,6334742942,5843040740,2012/1/31,0.069850582
76,002475.XSHE,20.348,4.4072,8110377000,10.4286,11.1446,10445640552,0.73,1805745307,1506388762,2012/1/31,0.112193538
77,002500.XSHE,-299.473,2.6293,15694692000,0.8005,2.2936,28146131862,0.06,764146400,593553103,2012/1/31,0.091732056
